pk,fam,bdg_misfit,censored,y_qbound,borderline,warm,outcome,qbound,final_rms,nit,p_ML,rms10,slope
101031,unknown,0,0,1,1,1,CONVERGED,1e-05,5.145e-06,19,0.7725,3.392e-05,-0.2721893544004225
100909,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0092764,100,0.25469359806859804,0.14544,-0.019437606161026025
106710,unknown,0,0,0,0,0,DIVERGE,0.008,0.21967,60,0.6189166666666667,0.27762,-0.0025226816161774282
101158,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0092764,100,0.25469359806859804,0.14544,-0.019437606161026025
101171,NbSe2-family,0,0,0,0,1,CONVERGED,1e-05,0.00087969,100,0.83,0.0012884,-0.09716423283753094
101207,NbSe2-family,0,0,0,0,1,CONVERGED,1e-05,0.00087969,100,0.83,0.0012884,-0.09716423283753094
101189,NbSe2-family,0,0,0,0,1,CONVERGED,1e-05,5.7398e-05,100,0.8325,0.001285,-0.09722991072987378
101226,NbSe2-family,0,0,1,0,1,CONVERGED,1e-05,9.0852e-07,13,0.995,2.4663e-05,-0.05787619686883627
101213,NbSe2-family,0,0,0,0,1,STALL,1e-05,0.0024614,100,0.9725,0.000172,-0.02197245263514021
101219,NbSe2-family,0,0,0,0,1,STALL,1e-05,0.0024614,100,0.9725,0.000172,-0.02197245263514021
101306,unknown,0,0,0,0,0,DIVERGE,0.008,0.10575,20,0.25469359806859804,0.14544,-0.019437606161026025
101266,NbSe2-family,0,0,1,1,1,CONVERGED,1e-05,7.8287e-06,49,0.89,0.0016715,-0.03939356917315739
101315,NbSe2-family,0,0,1,1,1,CONVERGED,1e-05,7.8287e-06,49,0.89,0.0016715,-0.03939356917315739
101362,unknown,0,0,0,0,0,DIVERGE,0.008,0.10575,20,0.25469359806859804,0.14544,-0.019437606161026025
101378,unknown,0,0,0,1,0,STALL,0.008,0.0092764,80,0.7922514430014429,0.077727,-0.013359554574054239
106731,unknown,0,0,0,0,0,DIVERGE,0.008,0.20321,60,0.6648333333333334,0.21246,-0.0014123239143666406
101396,unknown,0,0,0,0,1,STALL,1e-05,0.0013416,80,0.8525,0.0012926,-0.09708418298652692
101402,unknown,0,0,0,0,1,STALL,1e-05,0.0058691,80,0.965,0.0006478,-0.02822946693444041
101408,unknown,0,0,0,0,0,STALL,1e-05,0.016963,80,0.6375,0.008213,0.043472249971281525
101447,unknown,0,0,0,0,0,DIVERGE,0.008,0.10575,20,0.25469359806859804,0.14544,-0.019437606161026025
101465,unknown,0,0,0,1,0,STALL,0.008,0.0092764,80,0.7922514430014429,0.077727,-0.013359554574054239
101483,unknown,0,0,0,0,1,STALL,1e-05,0.0013416,80,0.8525,0.0012926,-0.09708418298652692
101489,unknown,0,0,0,0,1,STALL,1e-05,0.0058691,80,0.965,0.0006478,-0.02822946693444041
